 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm),label
3.8205996,1.82,0.77,9.7,0.03,0.01,0.18,0.08,0.89,33.73,750,good
3.8205996,1.95,0.75,9.83,0.03,0.02,0.19,0.08,0.89,33.73,753,good
3.8205996,1.95,0.84,9.83,0.03,-0.01,0.19,0.08,0.87,33.73,753,good
3.8205996,1.99,0.93,9.91,0.03,0,0.19,0.07,0.88,33.73,736,good
3.8205996,2.01,0.88,10.01,0.06,-0.02,0.18,0.07,0.86,33.33,736,good
3.8205996,1.82,0.7,9.35,0.03,-0.02,0.19,0.07,0.86,33.33,731.5,good
3.8205996,2,0.91,10.15,0.03,-0.04,0.18,0.07,0.84,33.33,751.5,good
3.821302,1.78,0.66,9.26,-0.02,0.05,0.2,0.09,0.93,33.33,751.5,good
3.821302,1.78,0.67,9.34,0.03,-0.04,0.18,0.07,0.84,32.94,743.5,good
3.821302,1.97,0.87,9.96,0.03,0.04,0.2,0.09,0.92,32.94,743.5,good
3.821302,1.88,0.8,9.41,0,0.04,0.2,0.09,0.92,32.94,756.5,good
3.821302,2.05,0.89,9.98,0.03,0.04,0.21,0.1,0.92,32.94,756.5,good
3.821302,2.02,0.87,9.46,0.03,-0.02,0.18,0.08,0.86,32.94,754.5,good
3.821302,1.83,0.88,9.83,0.03,0.02,0.19,0.09,0.9,33.33,737.5,good
3.821302,1.91,0.89,9.72,0.03,0,0.16,0.1,0.89,33.33,737.5,good
3.8233645,1.62,0.95,10.09,0.03,0.05,0.17,0.11,0.93,33.33,710.5,good
3.8233645,1.86,0.77,9.49,0.03,-0.03,0.19,0.08,0.84,33.33,710.5,good
3.8233645,1.71,0.91,9.41,0,-0.03,0.19,0.08,0.84,30.59,685.5,good
3.8233645,1.78,1.11,9.89,0.03,0.05,0.17,0.1,0.93,30.59,685.5,good
3.8233645,1.29,0.74,9.63,0.03,0.04,0.14,0.09,0.93,30.98,653,good
3.8233645,2.22,1.2,9.73,0.03,0.02,0.16,0.1,0.91,30.98,652,good
3.8233645,1.98,0.92,9.6,0.03,-0.01,0.21,0.08,0.87,30.98,652,good
3.8233645,2.26,1.24,9.3,0.03,-0.02,0.23,0.13,0.84,31.37,633,good
3.8233645,1.25,0.85,9.75,0.03,-0.03,0.18,0.07,0.85,31.76,633,good
3.8221726,1.84,1.56,10.11,0.03,-0.03,0.18,0.07,0.85,32.55,587.5,good
3.8221726,1.74,1.28,10.43,0.03,0.01,0.23,0.16,0.87,33.33,578.5,good
3.8221726,1.92,-0.19,9.27,-0.02,0,0.25,0.11,0.86,34.51,578.5,good
3.8221726,1.72,-0.12,9.14,0.03,0.06,0.17,0.22,0.92,36.08,579.5,good
3.8221726,1.92,-0.44,9.52,0.03,0.05,0.17,0.15,0.93,36.86,606,good
3.8221726,1.65,0.06,10.06,0.06,0.05,0.23,0.19,0.91,36.86,606,good
3.8221726,1.71,0.64,10.3,0.04,0.02,0.26,0.14,0.88,36.47,633,good
3.8221726,1.59,1.09,10.13,0.04,0.02,0.28,0.07,0.88,36.08,633,good
3.8221726,2.07,1.24,10.17,0.03,-0.08,0.22,0.04,0.79,36.08,641.5,good
3.8113382,2.51,0.53,9.92,0.04,0.02,0.21,0.04,0.9,35.69,641.5,good
3.8113382,2.35,1.03,9.52,0.04,0.03,0.15,0.11,0.92,35.69,659.5,good
3.8113382,2.38,1.34,8.78,0.03,0.03,0.15,0.11,0.92,35.69,659.5,good
3.8113382,2.74,0.72,8.16,-0.1,-0.03,0.22,0.08,0.84,35.69,639.5,good
3.8113382,2.37,1.12,8.69,-0.02,0,0.31,0.12,0.84,35.69,639.5,good
3.8113382,2.1,0.39,9.94,0,0,0.31,0.12,0.84,35.69,639.5,good
3.8113382,2.38,0.96,10.65,0.14,0.15,0.27,0.05,1.02,35.29,647,good
3.8113382,1.46,1.41,9.2,0.09,0.09,0.2,0.1,0.97,34.9,647,good
3.8893654,1.55,1.04,9.52,0.06,0.09,0.2,0.1,0.97,34.12,712.5,good
3.8893654,2.06,0.94,9.23,0.05,-0.03,0.15,0.1,0.85,33.73,712.5,good
3.8893654,1.69,0.68,9.78,0.03,0.02,0.19,0.07,0.9,33.33,731.5,good
3.8893654,1.78,1.08,9.73,0.03,0.04,0.17,0.09,0.92,33.33,712,good
3.8893654,1.44,0.87,9.41,0.02,-0.03,0.15,0.15,0.85,33.33,712,good
3.8893654,1.48,1.06,9.81,0.04,0.02,0.16,0.08,0.9,32.94,722,good
3.8893654,0.99,1.43,10.23,0.03,0.02,0.13,0.2,0.89,32.94,722,good
3.8893654,1.32,1.63,9.07,0.03,0.02,0.13,0.18,0.85,32.94,739.5,good
3.8893654,1.42,0.99,9.14,-0.03,-0.02,0.15,0.16,0.85,32.94,740,good
3.891653,2.14,0.94,10.48,0,-0.02,0.15,0.16,0.85,32.94,740,good
3.891653,1.82,0.37,10.91,0.04,-0.01,0.19,0.07,0.87,32.55,732,good
3.891653,1.56,0.85,9.17,-0.03,0.06,0.19,-0.01,0.94,32.55,732,good
3.891653,1.49,1.35,8.88,0,-0.04,0.17,0.11,0.84,32.55,742.5,good
3.891653,1.64,0.64,10.31,0.02,0.06,0.17,0.11,0.94,32.55,718.5,good
3.891653,1.88,0.71,10.72,0,0.01,0.16,0.05,0.9,32.55,718.5,good
3.891653,2.02,0.51,10.19,0.06,0.01,0.16,0.05,0.9,32.16,717,good
3.891653,1.39,1.77,9.89,0.03,-0.06,0.14,0.12,0.82,32.16,717,good
3.891653,1.72,0.99,9.58,0.02,-0.03,0.11,0.14,0.86,32.16,712,good
3.8659453,1.71,0.65,9.79,0.03,0.03,0.21,0.06,0.91,32.16,712,good
3.8659453,1.87,0.58,8.37,0.05,0.11,0.19,0.11,0.98,32.16,699.5,good
3.8659453,1.26,0.71,9.83,0.05,0.01,0.13,0.07,0.9,32.16,699.5,good
3.8659453,1.34,1.21,9.1,-0.04,0.01,0.13,0.07,0.9,32.16,699.5,good
3.8659453,1.42,0.71,9.54,0,0,0.16,0.11,0.88,32.16,684.5,good
3.8659453,1.82,0.96,10.18,0.03,0.02,0.19,0.08,0.9,32.16,684.5,good
3.8659453,1.69,0.82,9.66,0.02,0,0.17,0.08,0.88,32.55,690.5,good
3.8659453,1.83,0.84,9.94,0.04,0.03,0.19,0.09,0.91,32.55,690.5,good
3.895456,2.25,1,9.82,0.04,0.03,0.19,0.09,0.91,34.12,670.5,good
3.895456,1.38,0.88,8.63,0.03,-0.06,0.17,0.03,0.82,36.08,671,good
3.895456,2.04,0.42,8.81,0.02,0.09,0.21,0.1,0.97,40.78,671,good
3.895456,2.06,0.94,9.64,0.02,0.03,0.21,0.17,0.89,42.75,680,good
3.895456,1.89,1.6,10.47,0.04,-0.1,0.14,0.13,0.78,43.53,680,good
3.895456,1.81,0.8,9.36,-0.01,-0.1,0.14,0.13,0.78,43.53,703.5,good
3.895456,2.26,0.99,9.73,0.02,0.11,0.23,0.18,0.97,43.53,688,good
3.895456,1.62,1.18,9.22,0.01,-0.11,0.2,0.06,0.77,43.14,688,good
3.895456,1.85,1.06,9.53,0.01,0.08,0.15,0.1,0.96,43.14,716,good
3.923614,2.39,0.9,10.32,0.04,0.01,0.25,0.08,0.87,42.35,716,good
3.923614,1.79,1.1,9.38,0.04,0.06,0.19,0.12,0.94,42.35,742.5,good
3.923614,1.4,1.5,10.06,0.07,-0.02,0.13,0.16,0.86,41.96,742.5,good
3.923614,1.31,1.1,9.91,0.01,-0.02,0.13,0.16,0.86,41.96,765.5,good
3.923614,1.74,0.94,9.23,0.03,0,0.19,0.08,0.88,41.96,765.5,good
3.923614,1.5,0.94,10.13,0.03,0.05,0.19,0.04,0.93,41.96,763,good
3.923614,2.06,0.39,9.42,0,0.03,0.16,0.16,0.9,41.57,773.5,good
3.923614,1.61,0.48,9.23,0.02,-0.06,0.18,0.06,0.82,41.18,773.5,good
3.9315712,1.43,0.79,10.26,0.08,-0.05,0.13,0.07,0.84,40.78,786.5,good
3.9315712,1.45,0.1,9.64,0.04,-0.02,0.13,0.02,0.87,40.39,815.5,good
3.9315712,1.31,0.38,10.67,0.05,0.08,0.16,0.03,0.97,40,815.5,good
3.9315712,1.09,0.1,9.59,0.04,0.08,0.16,0.03,0.97,39.61,812,good
3.9315712,0.82,-0.15,9.87,0.03,0.08,0.11,0.01,0.98,39.61,812,good
3.9315712,0.61,-0.4,10.5,0.05,0,0.08,-0.02,0.9,39.61,806.5,good
3.9315712,0.43,-0.11,10.2,0.05,0.03,0.03,0.01,0.93,40,806.5,good
3.9315712,0.06,0.04,9.92,0.03,0.07,0.02,-0.03,0.97,40,815.5,good
3.9315712,0.11,-0.27,10.39,0.06,0.07,0.02,-0.03,0.97,40,789,good
3.9035704,0.48,0,9.75,0.06,0.04,0.01,-0.03,0.94,40,789,good
3.9035704,2.43,0.93,10.26,0.11,0.08,0.14,0.05,0.97,39.22,806,good
3.9035704,1.74,0.78,9.64,0.04,-0.05,0.24,0.11,0.82,38.04,806,good
3.9035704,2.05,0.76,10.08,0.03,-0.03,0.16,0.04,0.86,37.25,772.5,good
3.9035704,1.64,0.63,9.16,-0.03,-0.05,0.19,0.07,0.83,37.25,780,good
3.9035704,1.78,0.68,9.57,0.04,-0.01,0.18,0.07,0.88,36.47,780,good
3.9035704,1.85,0.61,9.69,0.03,-0.01,0.18,0.07,0.88,36.47,762.5,good
3.7987235,1.84,0.68,9.61,0.03,0.01,0.19,0.08,0.89,36.47,768,good
3.7987235,1.88,0.54,9.91,0.03,0.03,0.18,0.08,0.91,36.08,753,good
3.7987235,1.82,0.76,9.68,0.03,-0.01,0.18,0.08,0.87,35.69,753,good
3.7987235,1.91,0.69,9.44,0.03,0.02,0.19,0.06,0.9,35.69,767.5,good
3.7987235,1.81,0.57,9.18,0.03,-0.03,0.18,0.06,0.85,35.29,767.5,good
3.7987235,1.93,0.8,10.26,0.03,0.07,0.19,0.08,0.95,34.9,768,good
3.7987235,1.73,0.65,9.56,0.01,0.05,0.19,0.07,0.93,34.9,779.5,good
3.7987235,1.79,0.69,9.68,0.03,0.02,0.19,0.08,0.9,34.9,779.5,good
3.8235004,1.83,0.63,9.62,0.03,0.02,0.19,0.08,0.9,34.51,761,good
3.8235004,1.79,0.65,9.54,0.01,0.03,0.19,0.05,0.91,34.51,758,good
3.8235004,1.73,0.85,9.63,0.03,0.04,0.19,0.06,0.92,34.51,758,good
3.8235004,1.75,0.75,9.76,0.03,0.01,0.2,0.07,0.89,34.12,750,good
3.8235004,1.79,0.75,9.93,0.05,0.02,0.19,0.06,0.9,34.12,750,good
3.8235004,1.94,0.8,9.82,0.03,0,0.2,0.07,0.88,34.12,747.5,good
3.8235004,1.96,0.83,10.23,0.03,-0.02,0.18,0.07,0.86,33.73,722.5,good
3.8235004,1.76,0.66,10.26,0.08,-0.02,0.18,0.07,0.86,32.55,722.5,good
3.8322968,1.63,0.89,9.57,0.03,-0.03,0.2,0.08,0.85,29.02,710,good
3.8322968,2.05,0.7,9.57,0.03,0.04,0.2,0.06,0.92,29.8,710,good
3.8322968,1.63,0.56,10,0.05,0.01,0.17,0.06,0.9,30.2,661,good
3.8322968,1.65,0.68,9.89,0.03,0,0.21,0.08,0.87,30.2,658,good
3.8322968,1.85,0.73,9.92,0.03,0.05,0.17,0.07,0.93,30.2,663,good
3.8322968,1.78,0.7,9.46,0.03,-0.01,0.19,0.07,0.87,30.59,663,good
3.8322968,1.95,0.72,9.83,0.03,0.04,0.19,0.07,0.92,30.59,649.5,good
3.8322968,1.64,0.66,9.78,0.03,-0.02,0.18,0.06,0.87,30.59,649.5,good
3.84949,1.73,0.67,10.05,0.03,-0.01,0.17,0.07,0.88,30.59,665,good
3.84949,1.61,0.8,10.14,0.03,0,0.2,0.06,0.88,30.2,657.5,good
3.84949,1.95,0.76,9.85,0.03,-0.01,0.2,0.07,0.86,30.2,657.5,good
3.84949,1.94,0.79,9.82,0.03,-0.01,0.2,0.07,0.86,30.2,650,good
3.84949,1.97,0.73,9.62,0.03,0.05,0.17,0.07,0.93,30.2,650,good
3.84949,1.76,0.7,10.08,0.03,0.05,0.17,0.07,0.93,29.8,661,good
3.84949,1.99,0.74,9.47,0.03,0.05,0.19,0.08,0.93,29.8,655,good
3.84949,1.86,0.66,9.44,0.03,0.05,0.19,0.08,0.93,29.8,655,good
3.8401968,1.94,0.71,9.65,0.03,-0.01,0.18,0.06,0.88,29.8,656.5,good
3.8401968,2,0.73,9.53,0.01,0,0.18,0.07,0.88,29.8,649.5,good
3.8401968,1.75,0.63,9.47,0.03,0.01,0.17,0.06,0.89,29.8,649.5,good
3.8222642,1.91,0.73,9.71,0.03,0.02,0.17,0.08,0.9,29.8,676,good
3.82332,1.82,0.68,9.73,0.03,0.01,0.19,0.07,0.89,29.8,676,good
3.8264108,1.92,0.63,9.77,0.04,0,0.18,0.08,0.89,29.8,676,good
17.507837,-0.18,0.17,10.12,0.05,-0.1,0.02,-0.05,0.8,14.51,2130,bad
10.994289,-1.45,-1.11,11.41,0.05,0.19,-0.15,-0.01,1.08,30.2,1546,bad
10.994289,-1.85,-1.2,10.62,0.05,-0.13,-0.2,-0.1,0.74,30.2,1539,bad
11.643322,-0.23,-0.45,10.19,0.06,0.04,-0.02,-0.05,0.94,35.29,1536,bad
11.643322,-0.63,-1.23,9.52,0,0.09,-0.08,-0.12,0.98,20,1533,bad
11.968536,0.6,7.14,4.23,0.02,-0.14,-0.04,0.7,0.4,15.29,1504,bad
11.773096,-0.13,7.22,5.94,0,-0.09,-0.03,0.7,0.47,10.59,1491,bad
11.773096,-2,0.17,10.41,0.24,0.78,0.15,0.07,1.67,60,1562,bad
11.02899,-1.7,-0.04,10.94,0.08,0.05,-0.16,-0.02,0.94,67.84,1501,bad
11.001109,-1.8,-0.66,10.08,0.05,0.02,-0.17,-0.07,0.91,58.04,1537,bad
11.001109,-0.97,-0.78,9.27,-0.03,-0.01,-0.18,-0.07,0.87,46.27,1549,bad
10.607838,-0.29,-0.59,10.51,0.07,-0.04,-0.05,-0.08,0.85,20.39,1555,bad
10.554008,-0.69,-0.71,9.73,0.03,-0.02,-0.02,-0.13,0.87,5.49,1611,bad
10.554008,0.09,-1.23,7.89,-0.17,-0.16,-0.03,-0.13,0.73,0,1547,bad
10.463201,-0.43,-0.74,10.34,0.09,0.11,0,-0.07,1.01,0,1509,bad
10.226476,0.16,0.03,9.5,0.05,0.02,0.06,0.03,0.92,0,1480,bad
10.226476,-0.57,0.98,8.71,0.06,0.2,-0.02,0.17,1.09,0,1450,bad
10.175781,-1.74,0.86,11.22,0.06,-0.01,-0.13,0.09,0.88,49.02,1477,bad
10.175781,-0.8,1.17,10.44,0.09,-0.1,-0.12,0.09,0.79,61.57,1447,bad
10.15839,-1.6,0.83,9.92,0.11,0.18,-0.19,0.09,1.06,50.2,1469,bad
10.234184,-1.1,-0.5,9.87,0.03,-0.06,-0.1,-0.04,0.83,31.37,1480,bad
10.234184,-0.57,-1.19,9.73,0.02,0.06,-0.2,-0.07,0.94,27.84,1475,bad
10.536248,-1.33,-0.28,9.64,0.01,0.04,-0.1,-0.05,0.94,52.16,1469,bad
10.536248,-0.44,-1.28,10.75,0.07,0,-0.06,-0.1,0.89,7.84,1472,bad
11.161187,-1.07,-1.24,10,0.05,0.01,-0.05,-0.14,0.9,0,1442,bad
11.353221,-1.15,-1.86,10.9,0.09,0.1,0.01,-0.21,0.98,0,1432,bad
12.199926,2.02,-2.99,10.79,0.18,0.06,0.15,-0.32,0.89,4.31,1372,bad
13.178369,1.27,-3.04,10.29,0.11,0.16,0.15,-0.32,1.01,26.27,931,bad
13.178369,-0.32,-1.62,9.97,0.05,0.05,-0.02,-0.19,0.93,26.27,903,bad
14.053994,-1.29,-1.39,10.25,0.06,0,-0.02,-0.18,0.89,26.67,899,bad
12.303052,0.09,0.76,8.95,-0.06,-0.04,-0.09,0.08,0.85,27.45,899,bad
12.303052,-0.05,0.39,9.8,0.05,0.04,-0.05,0.05,0.94,26.27,908,bad
11.971508,-0.62,-0.44,10.35,0.06,0,-0.04,-0.01,0.89,27.06,904,bad
11.971508,-1.62,0.09,10.25,0.08,-0.01,-0.1,0.03,0.88,27.45,1446,bad
11.857888,-1.08,0.18,9.77,0.04,-0.06,-0.11,-0.01,0.83,21.96,1320,bad
11.680927,-0.77,0.32,9.31,-0.03,0.04,-0.09,-0.01,0.94,12.94,1311,bad
11.680927,-0.71,-1.4,9.79,0.04,0.06,-0.08,-0.17,0.94,15.69,1232,bad
12.143639,-0.87,0.09,9.9,0.03,-0.29,-0.1,-0.02,0.6,44.71,1210,bad
12.1852865,-0.24,1.65,8.9,-0.06,-0.09,-0.09,0.13,0.8,52.55,1191,bad
12.1852865,-1.18,1.23,9.68,0.04,0.4,-0.13,0.13,1.29,43.14,1264,bad
11.533364,-0.96,-0.64,10.05,0.04,-0.01,-0.15,-0.09,0.88,40.39,1293,bad
11.086896,-1.64,-0.12,10.07,0.06,-0.01,-0.19,-0.02,0.87,70.59,1349,bad
11.086896,-1.84,0.17,10.97,0.06,-0.02,-0.21,-0.01,0.85,73.33,1489,bad
10.907751,-2.2,0.08,9.68,0.05,0,-0.19,0.02,0.88,74.51,1670,bad
10.735884,-0.83,-1.1,10.34,0.06,0.01,0.01,-0.09,0.91,12.55,1875,bad
10.735884,-0.48,-0.98,8.97,0.05,0.15,-0.01,-0.05,1.05,16.47,1652,bad
10.744437,-0.5,-0.28,9.92,0.03,0.07,-0.14,-0.04,0.96,78.82,1130,bad
10.834946,-1.09,-0.42,11.01,0.04,-0.5,-0.07,-0.08,0.39,73.33,1178,bad
10.834946,-0.7,-1.08,10.89,0.05,0.01,-0.02,-0.09,0.91,14.51,1206,bad
10.766619,-0.72,-1.17,9.61,0.01,-0.05,-0.08,-0.1,0.84,19.22,1178,bad
10.747835,-1.63,-0.38,8.73,0.05,0.05,-0.12,-0.03,0.95,79.22,1136,bad
10.747835,-0.65,-0.8,9.91,0.06,-0.01,-0.1,-0.09,0.88,37.25,1189,bad
10.877936,0.13,-0.13,10.24,0.06,0.13,-0.02,0.01,1.03,15.69,1189,bad
10.917641,-1.09,-1.32,9.96,0.08,0.03,0.04,-0.07,0.93,16.08,1189,bad
10.917641,-0.45,-0.93,11.72,0.03,-0.11,0,-0.03,0.78,19.61,1116,bad
10.524483,0.03,-1.35,9.55,0,0.03,0.01,-0.12,0.92,27.45,1033,bad
10.447216,0.36,-1.9,10.3,0.06,0.05,0.05,-0.19,0.93,22.75,1093,bad
10.447216,-0.04,-1.77,9.99,0.07,0.04,0.02,-0.19,0.92,25.49,955,bad
10.392258,-0.45,-0.92,10.12,0.06,0.02,-0.06,-0.1,0.91,27.84,902,bad
10.392258,-0.1,-1.4,9.59,0.05,0.05,-0.06,-0.15,0.93,36.47,902,bad
10.451455,-2.01,0.32,9.49,0.05,0.01,-0.16,0.03,0.9,36.47,1341,bad
10.407941,-2.83,0.11,9.56,0.04,-0.05,-0.21,0.04,0.83,54.9,1684,bad
10.407941,-3.14,0.49,10.92,0.1,0.12,-0.23,0.08,0.99,60.39,1992,bad
10.531802,1.47,-2.66,12.87,0.37,0.13,-0.01,-0.06,1.03,9.41,2411,bad
10.254009,-0.39,2.17,9.64,-0.04,-0.09,0.05,0.31,0.75,16.86,1959,bad
10.254009,-0.76,2.42,8.72,-0.06,0.07,-0.01,0.29,0.93,85.49,1362,bad
10.190978,-4.72,4.3,8.48,0.04,-0.21,0.27,0.2,0.61,74.9,1545,bad
10.136682,0.82,4.05,9.23,0.04,0,0.09,0.46,0.79,57.65,1764,bad
10.136682,1.09,2.23,9.67,0.03,-0.05,0.04,0.28,0.8,41.96,1963,bad
10.190352,0.23,4.11,8.69,0.03,0.16,0.09,0.34,1,46.27,2078,bad
10.190352,0.84,2.91,10.09,0.09,-0.04,0.16,0.25,0.81,9.02,2171,bad
10.305848,1,3.2,9.45,0.01,0.05,0.18,0.39,0.85,11.37,1676,bad
10.379821,1.4,3.7,9.47,0.06,-0.04,0.13,0.38,0.78,57.65,1450,bad
10.379821,7.64,6.9,5.6,0.06,0.2,0.39,0.36,0.98,61.18,1408,bad
10.425019,1.21,3.32,9.89,0.09,-0.01,0.06,0.33,0.83,40.39,1451,bad
10.40931,0.57,4.21,8.74,0,0.02,0.07,0.43,0.82,43.14,1486,bad
10.40931,0.99,4.38,9.11,-0.02,-0.03,0.11,0.45,0.75,50.2,1515,bad
10.290078,2.57,3.83,8.45,0,-0.04,0.33,0.47,0.66,34.51,1550,bad
10.290078,3.74,2.15,9.97,-0.01,-0.12,0.4,0.31,0.63,14.9,1579,bad
10.221781,1.16,-0.11,10.39,0.09,0.14,0.08,0,1.03,7.84,1591,bad
10.2806425,1.93,3.28,7.74,-0.1,-0.06,0.21,0.28,0.77,17.25,1526,bad
10.2806425,1.04,2.77,9.76,0.06,0.01,0.19,0.3,0.84,25.49,1524,bad
10.186994,2.08,4.61,9.57,0,-0.01,0.33,0.31,0.78,34.51,1502,bad
10.186994,0.13,3.41,10.33,0.13,0.01,0.12,0.43,0.81,40,1514,bad
10.194406,1.99,1.01,10.01,-0.13,-0.15,0.04,0.17,0.73,27.84,1544,bad
10.190796,1,1.52,10,0.1,-0.12,0.01,0.39,0.68,33.33,1567,bad
10.190796,0.09,3.58,9.4,0,-0.05,-0.02,0.31,0.8,55.29,1591,bad
10.155021,0.53,3.08,7.86,0.03,-0.01,0.19,0.28,0.83,69.41,1645,bad
10.154031,1.23,2.73,8.65,0.01,-0.01,0.13,0.28,0.84,76.47,1721,bad
10.154031,1.51,3.04,8.11,-0.08,-0.28,0.21,0.25,0.54,78.82,1811,bad
10.1980095,2.27,1.52,7.97,-0.12,-0.14,0.23,0.16,0.71,27.45,1897,bad
10.1980095,1.78,2.23,11.6,0.1,-0.23,0.07,0.21,0.64,14.51,1895,bad
10.181799,0.01,3.94,9.18,-0.04,0.05,0.1,0.47,0.83,48.24,1996,bad
9.935046,1.12,3.99,6.88,-0.16,-0.14,0.18,0.43,0.62,32.94,1975,bad
9.935046,2.16,3.31,8.61,-0.02,-0.09,0.07,0.31,0.76,0,2021,bad
10.441458,1.48,5.2,8.31,-0.03,-0.01,0.15,0.47,0.76,0,2011,bad
10.249382,1.53,4.79,7.68,-0.05,-0.1,0.17,0.5,0.63,0,1958,bad
10.249382,0.27,3.89,7.88,0,-0.12,0.04,0.47,0.64,18.04,1921,bad
9.935046,0.07,3.26,9.51,0.07,0.02,-0.02,0.34,0.86,15.29,1898,bad
9.935046,0.96,4.59,7.9,-0.04,-0.1,0.01,0.51,0.65,39.61,1923,bad
9.935046,2.55,3.77,10.13,0.06,0.11,0.18,0.41,0.91,18.04,1970,bad
9.935046,0.21,4.52,9.54,0.1,0.04,0.05,0.44,0.85,38.04,1994,bad
9.935046,-0.38,2.42,9.11,0.01,-0.06,-0.1,0.31,0.78,25.1,2042,bad
9.935046,2.37,3.78,12.36,0.09,-0.02,0.36,0.3,0.76,4.71,2086,bad
9.935046,0.91,4.2,9.07,0.04,-0.08,0.17,0.41,0.71,30.98,2138,bad
9.935046,-2.13,-8.41,13.19,0.63,0.57,-0.35,-0.76,1.22,0,2143,bad
9.935046,-1.02,-1.67,9.36,0.01,-0.08,0.14,-0.02,0.81,0,2145,bad
9.935046,-0.29,-0.86,10.35,0.03,0.03,0,-0.09,0.93,0,2099,bad
9.935046,-0.1,-0.77,9.4,0.03,0.07,0.03,-0.1,0.97,0,2057,bad
9.935046,0.35,-0.66,11.26,0.06,0.13,0.01,-0.09,1.02,0,2023,bad
9.935046,-0.68,-1.15,9.03,0.05,0.02,-0.05,-0.12,0.91,0,1991,bad
9.935046,2.96,-1.21,11.45,0.08,0,0.24,-0.1,0.9,0,1951,bad
9.935046,2.25,-1.67,9.47,0.1,0.15,0.27,-0.21,1,28.24,1329,bad
9.935046,2.11,-1.79,10.12,0.09,0.08,0.3,-0.18,0.92,25.49,894,bad
9.935046,1.85,-1.6,10.32,0.08,0.07,0.12,-0.18,0.95,25.88,899,bad
9.935046,-1.13,-1.36,10.29,0.06,0.04,-0.08,-0.15,0.93,25.49,900,bad
9.935046,-0.33,-1.01,10.15,0.05,0.04,-0.04,-0.1,0.94,26.27,899,bad
9.935046,1.28,-1.8,10.22,0.08,0.06,0.12,-0.19,0.93,1.57,1050,bad
9.935046,0.93,-1.37,10.56,0.06,0.03,0.11,-0.14,0.92,23.53,1038,bad
9.935046,-0.47,-0.56,9.91,0.04,-0.02,-0.04,-0.08,0.87,27.84,860,bad
9.935046,-1.07,0.22,11.16,0.16,0.1,-0.13,0.02,0.99,41.57,891,bad
9.935046,-1.57,0.08,10.16,0.07,0.07,-0.26,0,0.94,60,2001,bad
9.935046,-2.01,-0.21,9.97,0.08,0.05,-0.26,0.03,0.97,67.45,2175,bad
9.935046,-0.4,-0.4,10.32,0.06,0,-0.04,-0.06,0.94,3.14,2547,bad
9.935046,-0.72,0.59,9.2,0.04,-0.03,0.08,-0.11,0.86,41.18,1749,bad
9.935046,-1.94,0.03,9.55,0.04,-0.01,-0.21,0.03,0.87,70.59,1809,bad
9.935046,-1.22,-0.63,9.82,0.03,-0.07,-0.13,-0.03,0.82,37.65,1780,bad
9.935046,-0.63,-0.76,10.11,0.05,0,-0.12,-0.08,0.89,20.78,1915,bad
9.935046,0.81,-0.23,10.62,0.27,0.32,-0.05,-0.14,1.21,5.88,1835,bad
9.935046,5.23,2.13,7.13,0.07,0.09,0.38,0.15,0.91,15.29,1901,bad
9.935046,1.24,5.15,7.21,-0.07,-0.08,-0.05,0.53,0.65,63.53,1901,bad
9.935046,-0.34,4.69,6.81,0.01,-0.02,0.02,0.48,0.76,78.43,2094,bad
9.935046,2.58,3.35,7.31,0.86,0.02,0.08,0.25,0.89,8.24,2266,bad
9.935046,3.64,1.53,9.25,0.09,0.03,0,0.12,0.92,56.08,1626,bad
9.935046,-0.52,3.35,9.29,-0.05,-0.02,0.1,0.34,0.82,82.35,1796,bad
9.935046,1.88,2.69,8.05,0.01,0.13,0.11,0.32,0.98,6.27,1643,bad
9.935046,6.14,1.24,10.1,0.07,-0.08,0.43,0.28,0.66,0,1653,bad
9.935046,1.49,5.64,10.57,0.25,0.05,-0.02,0.61,0.76,23.92,1256,bad
9.935046,2.86,-1.12,8.39,0.14,-0.04,-0.15,0.13,0.84,67.06,1574,bad
9.935046,-0.76,2.62,10.67,0.06,0.15,-0.01,0.2,1.03,80,1443,bad
9.935046,-0.8,3.32,10.55,0.15,0.14,-0.18,0.31,0.98,80.39,1551,bad
9.935046,1.11,4.13,8.98,0.03,-0.06,0.17,0.44,0.72,80.39,1640,bad
9.935046,0.17,3.7,9.04,0.01,0.01,-0.08,0.37,0.84,83.92,1763,bad
9.935046,0.79,4.79,9.13,0.09,0.16,-0.04,0.37,1,90.59,1888,bad
9.935046,-0.54,4.4,10.5,0,-0.06,0.23,0.46,0.68,100,2084,bad
9.935046,1.01,4.11,10.4,0.16,-0.17,0.18,0.3,0.66,11.37,2131,bad
9.935046,-0.65,2.61,9.16,-0.03,-0.29,-0.23,0.32,0.49,81.18,1629,bad
9.935046,-0.14,4.02,8.39,0.01,-0.02,-0.05,0.37,0.81,86.27,1600,bad
9.935046,-1.03,4.01,7.73,-0.09,-0.01,0.04,0.36,0.82,90.2,1643,bad
9.935046,-1.42,3.66,8.6,0.06,0.08,-0.08,0.35,0.92,92.16,1695,bad
9.935046,-0.74,3.93,9.69,0.03,0.03,0.02,0.4,0.84,96.86,1742,bad
11.1658,0.11,-0.27,10.14,0.05,0.08,0.01,-0.07,0.98,79.61,1803,bad
